date,county,state,fips,cases cumulative,deaths cumulative,Recovered ,Cumulative recovered
4/4/2020,Adams,Ohio,39001,1,0,0,0
4/5/2020,Adams,Ohio,39001,2,0,0,0
4/6/2020,Adams,Ohio,39001,2,0,0,0
4/7/2020,Adams,Ohio,39001,2,0,0,0
4/8/2020,Adams,Ohio,39001,2,0,0,0
4/9/2020,Adams,Ohio,39001,3,0,0,0
4/10/2020,Adams,Ohio,39001,3,0,0,0
4/11/2020,Adams,Ohio,39001,3,0,0,0
4/12/2020,Adams,Ohio,39001,3,0,0,0
4/13/2020,Adams,Ohio,39001,3,0,0.5,0.5
4/14/2020,Adams,Ohio,39001,3,0,0.75,1.25
4/15/2020,Adams,Ohio,39001,3,0,0.375,1.625
4/16/2020,Adams,Ohio,39001,3,0,0.1875,1.8125
4/17/2020,Adams,Ohio,39001,3,0,0.09375,1.90625
4/18/2020,Adams,Ohio,39001,3,0,0.546875,2.453125
4/19/2020,Adams,Ohio,39001,3,0,0.2734375,2.7265625
4/20/2020,Adams,Ohio,39001,3,0,0.13671875,2.86328125
4/21/2020,Adams,Ohio,39001,3,0,0.068359375,2.931640625
4/22/2020,Adams,Ohio,39001,4,0,0.034179688,2.965820313
4/23/2020,Adams,Ohio,39001,4,0,0.017089844,2.982910156
4/24/2020,Adams,Ohio,39001,4,0,0.008544922,2.991455078
4/25/2020,Adams,Ohio,39001,4,0,0.004272461,2.995727539
4/26/2020,Adams,Ohio,39001,4,0,0.00213623,2.99786377
4/27/2020,Adams,Ohio,39001,4,0,0.001068115,2.998931885
4/28/2020,Adams,Ohio,39001,4,0,0.000534058,2.999465942
4/29/2020,Adams,Ohio,39001,5,0,0.000267029,2.999732971
4/30/2020,Adams,Ohio,39001,4,0,0.000133514,2.999866486
5/1/2020,Adams,Ohio,39001,5,0,0.500066757,3.499933243
5/2/2020,Adams,Ohio,39001,5,0,0.250033379,3.749966621
5/3/2020,Adams,Ohio,39001,5,0,0.125016689,3.874983311
5/4/2020,Adams,Ohio,39001,5,0,0.062508345,3.937491655
5/5/2020,Adams,Ohio,39001,5,0,0.031254172,3.968745828
5/6/2020,Adams,Ohio,39001,5,0,0.015627086,3.984372914
5/7/2020,Adams,Ohio,39001,5,0,0.007813543,3.992186457
5/8/2020,Adams,Ohio,39001,5,0,0.503906772,4.496093228
5/9/2020,Adams,Ohio,39001,6,0,-0.248046614,4.248046614
5/10/2020,Adams,Ohio,39001,6,0,0.375976693,4.624023307
5/11/2020,Adams,Ohio,39001,6,0,0.187988346,4.812011654
5/12/2020,Adams,Ohio,39001,6,0,0.093994173,4.906005827
5/13/2020,Adams,Ohio,39001,6,0,0.046997087,4.953002913
5/14/2020,Adams,Ohio,39001,7,0,0.023498543,4.976501457
5/15/2020,Adams,Ohio,39001,8,0,0.011749272,4.988250728
5/16/2020,Adams,Ohio,39001,8,0,0.005874636,4.994125364
5/17/2020,Adams,Ohio,39001,8,0,0.002937318,4.997062682
5/18/2020,Adams,Ohio,39001,8,1,0.001468659,4.998531341
5/19/2020,Adams,Ohio,39001,8,1,0.000734329,4.999265671
5/20/2020,Adams,Ohio,39001,8,1,0.000367165,4.999632835
5/21/2020,Adams,Ohio,39001,8,1,0.000183582,4.999816418
5/22/2020,Adams,Ohio,39001,8,1,9.17912E-05,4.999908209
5/23/2020,Adams,Ohio,39001,8,1,0.500045896,5.499954104
5/24/2020,Adams,Ohio,39001,8,1,0.750022948,6.249977052
5/25/2020,Adams,Ohio,39001,8,1,0.375011474,6.624988526
5/26/2020,Adams,Ohio,39001,8,1,0.187505737,6.812494263
5/27/2020,Adams,Ohio,39001,8,1,0.093752868,6.906247132
5/28/2020,Adams,Ohio,39001,8,1,0.046876434,6.953123566
5/29/2020,Adams,Ohio,39001,9,1,0.023438217,6.976561783
5/30/2020,Adams,Ohio,39001,9,1,0.011719109,6.988280891
5/31/2020,Adams,Ohio,39001,10,1,0.005859554,6.994140446
6/1/2020,Adams,Ohio,39001,10,1,0.002929777,6.997070223
6/2/2020,Adams,Ohio,39001,10,1,0.001464889,6.998535111
6/3/2020,Adams,Ohio,39001,10,1,0.000732444,6.999267556
6/4/2020,Adams,Ohio,39001,11,1,0.000366222,6.999633778
6/5/2020,Adams,Ohio,39001,11,1,0.000183111,6.999816889
6/6/2020,Adams,Ohio,39001,11,1,9.15555E-05,6.999908444
6/7/2020,Adams,Ohio,39001,11,1,0.500045778,7.499954222
6/8/2020,Adams,Ohio,39001,11,1,0.250022889,7.749977111
6/9/2020,Adams,Ohio,39001,11,1,0.625011444,8.374988556
6/10/2020,Adams,Ohio,39001,12,1,0.312505722,8.687494278
6/11/2020,Adams,Ohio,39001,12,1,0.156252861,8.843747139
6/12/2020,Adams,Ohio,39001,12,1,0.078126431,8.921873569
6/13/2020,Adams,Ohio,39001,14,1,0.539063215,9.460936785
6/14/2020,Adams,Ohio,39001,15,1,0.269531608,9.730468392
6/15/2020,Adams,Ohio,39001,15,1,0.134765804,9.865234196
6/16/2020,Adams,Ohio,39001,17,1,0.067382902,9.932617098
6/17/2020,Adams,Ohio,39001,17,1,0.033691451,9.966308549
6/18/2020,Adams,Ohio,39001,18,1,0.016845725,9.983154275
6/19/2020,Adams,Ohio,39001,18,1,0.508422863,10.49157714
6/20/2020,Adams,Ohio,39001,18,1,0.254211431,10.74578857
6/21/2020,Adams,Ohio,39001,18,1,0.127105716,10.87289428
6/22/2020,Adams,Ohio,39001,19,1,1.063552858,11.93644714
6/23/2020,Adams,Ohio,39001,19,1,1.031776429,12.96822357
